month,checks
2024-09,1156223
2024-08,1210995
2024-07,1064790
2024-06,1059037
2024-05,1089117
2024-04,1216116
2024-03,1442061
2024-02,1343478
2024-01,1197294
2023-12,1775834
2023-11,1595476
2023-10,1370719
2023-09,1141847
2023-08,1117821
2023-07,1023903
2023-06,1110696
2023-05,1174142
2023-04,1369296
2023-03,1556492
2023-02,1343593
2023-01,1268236
2022-12,1747506
2022-11,1519524
2022-10,1265311
2022-09,1243687
2022-08,1286816
2022-07,1233115
2022-06,1382287
2022-05,1174791
2022-04,1359908
2022-03,1669578
2022-02,1352105
2022-01,1190856
2021-12,1792797
2021-11,1543378
2021-10,1427264
2021-09,1350754
2021-08,1328518
2021-07,1291298
2021-06,1279300
2021-05,1324419
2021-04,1694118
2021-03,2044136
2021-02,1387076
2021-01,2052130
2020-12,1906916
2020-11,1949141
2020-10,1769553
2020-09,1632918
2020-08,1684083
2020-07,1848307
2020-06,2177586
2020-05,1595790
2020-04,1678223
2020-03,2375525
2020-02,1294123
2020-01,1171478
2019-12,1553965
2019-11,1342155
2019-10,1105335
2019-09,1011636
2019-08,1113535
2019-07,830579
2019-06,924054
2019-05,910910
2019-04,992642
2019-03,1317114
2019-02,1109087
2019-01,988160
2018-12,1494087
2018-11,1314193
2018-10,1005062
2018-09,919979
2018-08,966809
2018-07,821260
2018-06,892479
2018-05,904834
2018-04,1065927
2018-03,1503967
2018-02,1271942
2018-01,955466
2017-12,1621261
2017-11,1457103
2017-10,1132065
2017-09,1019037
2017-08,1021227
2017-07,907348
2017-06,1016213
2017-05,988473
2017-04,1111596
2017-03,1356929
2017-02,1298208
2017-01,1038365
2016-12,1845847
2016-11,1662338
2016-10,1353299
2016-09,1156961
2016-08,1151679
2016-07,1210731
2016-06,1140088
2016-05,928532
2016-04,1111205
2016-03,1289670
2016-02,1487274
2016-01,1362847
2015-12,2235560
2015-11,1432451
2015-10,1211478
2015-09,1071945
2015-08,1031959
2015-07,946528
2015-06,886825
2015-05,918707
2015-04,987698
2015-03,1187823
2015-02,1280825
2015-01,1052441
2014-12,1624524
2014-11,1329688
2014-10,1174797
2014-09,1024272
2014-08,989337
2014-07,816588
2014-06,805571
2014-05,877655
2014-04,988726
2014-03,1224705
2014-02,1264010
2014-01,970510
2013-12,1510529
2013-11,1308100
2013-10,1113818
2013-09,1034701
2013-08,1016559
2013-07,855259
2013-06,872025
2013-05,974457
2013-04,1185231
2013-03,1501730
2013-02,1634309
2013-01,1790154
2012-12,2237731
2012-11,1525177
2012-10,1118994
2012-09,1007259
2012-08,1042924
2012-07,853355
2012-06,846437
2012-05,840412
2012-04,931660
2012-03,1189152
2012-02,1266344
2012-01,920840
2011-12,1410937
2011-11,1101076
2011-10,945088
2011-09,878345
2011-08,815858
2011-07,680258
2011-06,679840
2011-05,696947
2011-04,843484
2011-03,990840
2011-02,963746
2011-01,784856
2010-12,1133371
2010-11,945463
2010-10,854563
2010-09,770310
2010-08,718971
2010-07,628125
2010-06,602908
2010-05,625763
2010-04,731955
2010-03,861408
2010-02,848036
2010-01,715309
2009-12,1031344
2009-11,861575
2009-10,841631
2009-09,726572
2009-08,687252
2009-07,602353
2009-06,602191
2009-05,662956
2009-04,817118
2009-03,942288
2009-02,911043
2009-01,847808
2008-12,1184246
2008-11,1210043
2008-10,847531
2008-09,672421
2008-08,653380
2008-07,551314
2008-06,538963
2008-05,591123
2008-04,625494
2008-03,728992
2008-02,735314
2008-01,655143
2007-12,982597
2007-11,816166
2007-10,744213
2007-09,667339
2007-08,647578
2007-07,523398
2007-06,551079
2007-05,545131
2007-04,587718
2007-03,709353
2007-02,672907
2007-01,635991
2006-12,1021024
2006-11,821923
2006-10,735946
2006-09,692897
2006-08,599000
2006-07,501981
2006-06,491085
2006-05,495134
2006-04,570138
2006-03,700028
2006-02,684988
2006-01,641460
2005-12,1038971
2005-11,812628
2005-10,741246
2005-09,668437
2005-08,561850
2005-07,455671
2005-06,444276
2005-05,448028
2005-04,544147
2005-03,622100
2005-02,622165
2005-01,557307
2004-12,945633
2004-11,773585
2004-10,748942
2004-09,629003
2004-08,546882
2004-07,457010
2004-06,429078
2004-05,431462
2004-04,514497
2004-03,597029
2004-02,600114
2004-01,560984
2003-12,888484
2003-11,736818
2003-10,726020
2003-09,610579
2003-08,562530
2003-07,420401
2003-06,413564
2003-05,445749
2003-04,488324
2003-03,596171
2003-02,584876
2003-01,525232
2002-12,863006
2002-11,771136
2002-10,722645
2002-09,611535
2002-08,578482
2002-07,424950
2002-06,409681
2002-05,441169
2002-04,496406
2002-03,587763
2002-02,570504
2002-01,526581
2001-12,928347
2001-11,839859
2001-10,879561
2001-09,750339
2001-08,586608
2001-07,423465
2001-06,431237
2001-05,430245
2001-04,477323
2001-03,590580
2001-02,555133
2001-01,519010
2000-12,902832
2000-11,787786
2000-10,725598
2000-09,672686
2000-08,566419
2000-07,439390
2000-06,438725
2000-05,427319
2000-04,504576
2000-03,608861
2000-02,596399
2000-01,528691
1999-12,1150069
1999-11,903379
1999-10,842872
1999-09,714037
1999-08,612514
1999-07,508828
1999-06,484967
1999-05,488728
1999-04,547806
1999-03,638502
1999-02,605456
1999-01,508940
1998-12,794626
1998-11,19103
1998-10,
1998-09,
1998-08,
1998-07,
1998-06,
1998-05,
1998-04,
1998-03,
1998-02,
1998-01,
